Date,AUM
2024-09-30,4820000000
2024-10-31,4865000000
2024-11-30,4910000000
2024-12-31,4780000000
2025-01-31,4950000000
2025-02-28,5015000000
2025-03-31,4970000000
2025-04-30,5120000000
2025-05-31,5205000000
2025-06-30,5180000000
2025-07-31,5260000000
2025-08-31,5340000000
2025-09-30,5290000000
2025-10-31,5410000000
2025-11-30,5480000000
2025-12-31,5395000000
2026-01-31,5520000000
2026-02-28,5580000000
2026-03-31,5615000000
2026-04-30,5560000000
2026-05-31,5670000000
2026-06-30,5725000000
2026-07-31,5690000000
2026-08-31,5780000000
