Date,Security,Type,Quantity,Price,Value
2026-08-01,Naspers,Buy,4200,3180.50,13358100
2026-08-01,FirstRand,Sell,15000,72.40,1086000
2026-08-04,Prosus,Buy,3100,520.10,1612310
2026-08-05,Anglo American,Sell,2200,610.75,1343650
2026-08-06,Standard Bank,Buy,8000,215.30,1722400
2026-08-07,Capitec,Buy,900,2340.00,2106000
2026-08-08,MTN Group,Sell,12000,98.60,1183200
2026-08-11,Bidcorp,Buy,3500,412.20,1442700
2026-08-12,Sasol,Sell,9000,142.15,1279350
2026-08-13,Richemont,Buy,2600,1980.40,5149040
2026-08-14,British American Tobacco,Sell,1800,845.00,1521000
2026-08-15,Mondi,Buy,4000,410.75,1643000
2026-08-18,Shoprite,Buy,5200,268.90,1398280
2026-08-19,Woolworths,Sell,10000,64.30,643000
2026-08-20,Bid Corp,Buy,1500,412.20,618300
2026-08-21,Reinet,Sell,6000,420.00,2520000
2026-08-22,Absa,Buy,7000,198.60,1390200
2026-08-25,Nedbank,Buy,3300,265.40,875820
2026-08-26,AB InBev,Sell,2100,940.20,1974420
2026-08-27,Vodacom,Buy,6500,138.90,902850
2026-08-28,Discovery,Buy,4400,180.25,793100
2026-08-29,Sanlam,Sell,5000,89.10,445500
2026-09-01,Old Mutual,Buy,9000,14.85,133650
2026-09-02,Investec,Sell,2600,112.40,292240
2026-09-03,Growthpoint,Buy,7200,17.30,124560
2026-09-04,Clicks Group,Buy,2900,325.60,944240
2026-09-05,Bhp Group,Sell,1400,612.90,858060
