PfolioIDCode,InstrumentCode,TradeDate,SettlementDate,TransactionDescription,Quantity,AssetPrice,BaseCleanConsideration
AMMEAY,NPN,2026-08-01,2026-08-04,Share purchase,120,3180.50,381660
AMMEAY,ZAD000729317,2026-08-03,2026-08-04,Call Payment\Margin Call,0,0,11460
AMMEAY,CPI,2026-08-03,2026-08-06,Share sale,-50,4773.80,238260.57
AMMEAY,SOV2030,2026-08-04,2026-08-05,Fixed Interest Purchase,50000,101.20,50600
AMMEAY,BHG,2026-08-05,2026-08-08,Dividend Entitlement,0,0,15420
AMMEAY,SBK,2026-08-06,2026-08-09,Share purchase,800,215.30,172240
AMMEAY,T2028,2026-08-07,2026-08-08,Discount Security Purch,20000,98.40,19680
AMMEAY,MTN,2026-08-08,2026-08-11,Share sale,-1200,98.60,118320
AMMEAY,ZAD000811234,2026-08-11,2026-08-12,Security Maturity,0,0,50000
AMMEAY,PRX,2026-08-12,2026-08-15,Share purchase,300,700.20,210060
